Country Code;CFR;Event Code;Event Start Date;Event End Date;License Ind;Registration Nbr;Ext Marking;Vessel Name;Port Code;Port Name;IRCS Code;IRCS;Vms Code;Gear Main Code;Gear Sec Code;Loa;Lbp;Ton Ref;Ton Gt;Ton Oth;Ton Gts;Power Main;Power Aux;Hull Material;Com Year;Com Month;Com Day;Segment;Exp Country;Exp Type;Public Aid Code;Decision Date;Decision Seg Code;Construction Year;Construction Place
FRA;FRA000142359;MOD;20111215;20180122;Y;142359;ST 142359;TOINOU;ST;SÉTE;Y;FAA7963;N;GNS;LLS;7.87;;4.71;4.71;4.71;;147.00;0.00;3;1973;2;26;MFL;;;;;;1972;||FRANCE;
FRA;FRA000144341;MOD;20080314;21001231;Y;144341;AJ 144341;LOUIS;AJ;AJACCIO;Y;FGF6852;N;GTR;LLS;7.38;;2.82;2.82;4.09;;52.00;0.00;1;1982;5;13;MFL;;;;;;1972;FRANCE;
FRA;FRA000145296;MOD;20150807;21001231;Y;145296;AJ 145296;MARIE ALEXANDRE;AJ;AJACCIO;Y;FL6279;N;GNS;LLS;8.60;7.50;5.47;5.47;6.81;;54.00;0.00;3;2014;3;3;MFL;;;;;;1972;||FRANCE;
FRA;FRA000145568;MOD;20151215;21001231;Y;145568;MT 145568;FADY II;MT;MARTIGUES;Y;FAA9625;N;GNS;GTR;5.70;;1.76;1.76;2.96;;85.00;0.00;3;1996;2;9;MFL;;;;;;1970;RHONE VERRE|AVIGNON 84|FRANCE;
FRA;FRA000146534;CHA;20150305;20171106;Y;146534;MT 146534;DAMIEN-MANON;MT;MARTIGUES;N;;N;GNS;LLS;5.00;;1.77;1.77;1.77;;40.00;0.00;1;1982;7;21;MFL;;;;;;1972;||FRANCE;
FRA;FRA000146960;MOD;20130802;20170621;Y;146960;ST 146960;LAISSE DIRE;ST;SÉTE;Y;FQ5654;Y;OTM;OTB;20.38;18.35;65.00;65.00;39.29;;316.00;0.00;1;1975;12;11;MFL;;;;;;1969;||FRANCE;
FRA;FRA000147148;MOD;20061003;21001231;Y;147148;FC 147148;ST PIERRE;FC;FECAMP;Y;FI2688;N;LLS;LTL;9.99;;9.00;9.00;8.94;;147.00;0.00;3;1984;6;15;MFL;;;;;;1968;FRANCE;
FRA;FRA000148773;MOD;20150812;20180304;Y;148773;TL 148773;EWAN;TL;TOULON;Y;FGF2562;N;GTR;NO;7.18;;2.28;2.28;4.03;;27.00;0.00;1;1975;5;30;MFL;;;;;;1972;DE STEFANO CANNES|DE STEFANO CANNES FRANCE|FRANCE;
FRA;FRA000149176;MOD;20121001;21001231;Y;149176;NI 149176;PAT 2;NI;NICE;N;;N;GNS;NO;5.76;;1.05;1.05;2.78;;17.00;0.00;1;2011;12;19;MFL;;;;;;1972;||FRANCE;
FRA;FRA000149253;CHA;20120413;20180528;Y;149253;TL 149253;CHRISTELLE-JO II;TL;TOULON;Y;FG7307;N;GNS;LLS;7.10;;1.36;1.36;1.36;;129.00;0.00;3;2012;4;13;MFL;;;;;;1970;NORVEGE|NORVEGE|NORVEGE;
